review,date,source,review_id,sentences,sentence_id,sentence,sent_len,sentiment_new,themes,themes_bow,variable,themes_relation_extraction,themes_keyword,theme_len,relation_word,emotion_keyword,theme_groups,emotion_groups
Take your coffee break without breaking resolutions .  Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35,2020-01-24 04:14:02,Twitter,1,"['Take your coffee break without breaking resolutions .', 'Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35']",0,take coffee break without breaking resolutions,53,Neutral,"['break', 'breaking', 'coffee', 'resolutions']",break|breaking|coffee|resolutions,0,break,break,5,take,take,,neutral
Take your coffee break without breaking resolutions .  Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35,2020-01-24 04:14:02,Twitter,1,"['Take your coffee break without breaking resolutions .', 'Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35']",0,take coffee break without breaking resolutions,53,Neutral,"['break', 'breaking', 'coffee', 'resolutions']",break|breaking|coffee|resolutions,1,breaking,break,5,,,,
Take your coffee break without breaking resolutions .  Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35,2020-01-24 04:14:02,Twitter,1,"['Take your coffee break without breaking resolutions .', 'Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35']",0,take coffee break without breaking resolutions,53,Neutral,"['break', 'breaking', 'coffee', 'resolutions']",break|breaking|coffee|resolutions,2,coffee,coffee,6,,,,
Take your coffee break without breaking resolutions .  Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35,2020-01-24 04:14:02,Twitter,1,"['Take your coffee break without breaking resolutions .', 'Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35']",0,take coffee break without breaking resolutions,53,Neutral,"['break', 'breaking', 'coffee', 'resolutions']",break|breaking|coffee|resolutions,3,resolutions,resolution,10,,,,
Take your coffee break without breaking resolutions .  Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35,2020-01-24 04:14:02,Twitter,1,"['Take your coffee break without breaking resolutions .', 'Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35']",1,iced starbucks blonde vanilla latte cal ice sweet cream coffee foam,117,Positive,"['blonde', 'cal', 'coffee', 'cream', 'foam', 'ice', 'iced', 'latte', 'starbucks', 'vanilla']",blonde|cal|coffee|cream|foam|ice|iced|latte|starbucks|vanilla,0,blonde,blonde,6,,,,
Take your coffee break without breaking resolutions .  Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35,2020-01-24 04:14:02,Twitter,1,"['Take your coffee break without breaking resolutions .', 'Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35']",1,iced starbucks blonde vanilla latte cal ice sweet cream coffee foam,117,Positive,"['blonde', 'cal', 'coffee', 'cream', 'foam', 'ice', 'iced', 'latte', 'starbucks', 'vanilla']",blonde|cal|coffee|cream|foam|ice|iced|latte|starbucks|vanilla,1,cal,cal,3,,,,
Take your coffee break without breaking resolutions .  Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35,2020-01-24 04:14:02,Twitter,1,"['Take your coffee break without breaking resolutions .', 'Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35']",1,iced starbucks blonde vanilla latte cal ice sweet cream coffee foam,117,Positive,"['blonde', 'cal', 'coffee', 'cream', 'foam', 'ice', 'iced', 'latte', 'starbucks', 'vanilla']",blonde|cal|coffee|cream|foam|ice|iced|latte|starbucks|vanilla,2,coffee,coffee,6,,,,
Take your coffee break without breaking resolutions .  Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35,2020-01-24 04:14:02,Twitter,1,"['Take your coffee break without breaking resolutions .', 'Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35']",1,iced starbucks blonde vanilla latte cal ice sweet cream coffee foam,117,Positive,"['blonde', 'cal', 'coffee', 'cream', 'foam', 'ice', 'iced', 'latte', 'starbucks', 'vanilla']",blonde|cal|coffee|cream|foam|ice|iced|latte|starbucks|vanilla,3,cream,cream,5,,,Customization,
Take your coffee break without breaking resolutions .  Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35,2020-01-24 04:14:02,Twitter,1,"['Take your coffee break without breaking resolutions .', 'Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35']",1,iced starbucks blonde vanilla latte cal ice sweet cream coffee foam,117,Positive,"['blonde', 'cal', 'coffee', 'cream', 'foam', 'ice', 'iced', 'latte', 'starbucks', 'vanilla']",blonde|cal|coffee|cream|foam|ice|iced|latte|starbucks|vanilla,4,foam,foam,4,,,Quality,
Take your coffee break without breaking resolutions .  Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35,2020-01-24 04:14:02,Twitter,1,"['Take your coffee break without breaking resolutions .', 'Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35']",1,iced starbucks blonde vanilla latte cal ice sweet cream coffee foam,117,Positive,"['blonde', 'cal', 'coffee', 'cream', 'foam', 'ice', 'iced', 'latte', 'starbucks', 'vanilla']",blonde|cal|coffee|cream|foam|ice|iced|latte|starbucks|vanilla,5,ice,ice,3,,,Customization,
Take your coffee break without breaking resolutions .  Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35,2020-01-24 04:14:02,Twitter,1,"['Take your coffee break without breaking resolutions .', 'Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35']",1,iced starbucks blonde vanilla latte cal ice sweet cream coffee foam,117,Positive,"['blonde', 'cal', 'coffee', 'cream', 'foam', 'ice', 'iced', 'latte', 'starbucks', 'vanilla']",blonde|cal|coffee|cream|foam|ice|iced|latte|starbucks|vanilla,6,iced,iced,4,,,Customization,
Take your coffee break without breaking resolutions .  Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35,2020-01-24 04:14:02,Twitter,1,"['Take your coffee break without breaking resolutions .', 'Iced Starbucks Blonde Vanilla Latte 180 cal Nitro Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35']",1,iced starbucks blonde vanilla latte cal ice sweet cream coffee foam,117,Positive,"['blonde', 'cal', 'coffee', 'cream', 'foam', 'ice', 'iced', 'latte', 'starbucks', 'vanilla']",blonde|cal|coffee|cream|foam|ice|iced|latte|starbucks|vanilla,7,latte,latte,5,,,Customization,
